ID,Type,Option 1,Option 2,Option 3,Correct Answer,Index of Correct Answer
1,Warning,منعطف لليمين,لافتة متقدمة للدلالة على مخارج,تقاطع - إفسح المجال للسيارات القادمة من اليمين,منعطف لليمين,1
2,Warning,ممنوع دخول المركبات التي تحمل مواد متفجرة...,منعطف لليسار,لافتة اتجاه على الطريق السريع,منعطف لليسار,2
3,Warning,محطة وقود,تقاطع مع طريق بدون أفضلية,منعطفان من اليمين إلى اليسار,منعطفان من اليمين إلى اليسار,3
4,Warning,منعطفان من اليسار إلى اليمين,وقوف مقابل بدل,ممنوع التجاوز,منعطفان من اليسار إلى اليمين,1
5,Warning,مسار إلزامي للمشاة,اتجاه سير اجباري إلى اليسار,انخفاضات,انخفاضات,3
6,Warning,ممنوع التجاوز,مخرج الى طريق رقم,مطب تخفيض سرعة,مطب تخفيض سرعة,3
7,Warning,الطريق يضيق من اليسار,علامات تحديد رؤوس الجزر باللون الأصفر...,ممنوع دخول العربات التي تقطرها الحيوانات,الطريق يضيق من اليسار,1
8,Warning,الطريق يضيق من الجانبين,الزم اليسار,مسار إلزامي للمشاة,الطريق يضيق من الجانبين,1
9,Warning,اتجاه اجباري الى اليمين,الطريق يضيق من اليمين,هاتف عمومي,الطريق يضيق من اليمين,2
10,Warning,مقهى,إشارات كهربائية,خطر انهيارات,إشارات كهربائية,2
11,Warning,حركة سير في كلا الاتجاهين,الزم اليسار,هاتف عمومي,حركة سير في كلا الاتجاهين,1
12,Warning,الزم اليسار,خطر انهيارات,نهاية الاستعمال الاجباري للسلاسل المعدنية,خطر انهيارات,2
13,Warning,نهاية ممر الفروسية الإلزامي,تحليق منخفض للطائرات,اتجاه سير اجباري إلى اليمين,تحليق منخفض للطائرات,2
14,Warning,اتجاه سير اجباري إلى اليسار,إنحدار خطر,ممنوع مرور المركبات التي يزيد وزنها المحوري عن الرقم المحدد,إنحدار خطر,2
15,Warning,رياح جانبية,اتجاه اجباري إلى اليسار,اتجاه اجباري مستقيم أو إلى اليسار,رياح جانبية,1
16,Warning,موقع تخييم (قوافل),عبور حيوانات,ممنوع مرور المركبات التي يزيد وزنها المحوري عن الرقم المحدد,عبور حيوانات,2
17,Warning,تقاطع مع طريق بدون أفضلية,علامات المنعطفات للطرق الثلجية,عبور دراجات,عبور دراجات,3
18,Warning,منعطفان من اليسار إلى اليمين,موقف سيارات أجرة,أشغال,أشغال,3
19,Warning,ممر أو طريق للدراجات الهوائية,طريق منزلق,ممر سكة حديد,ممر سكة حديد,3
20,Warning,ممنوع دخول الشاحنات,انتهاء قيود منع تجاوز الشاحنات,طريق منزلق,طريق منزلق,3
21,Warning,نهاية طريق أفضلية,تقاطع سكة حديد مجهز بحواجز,موقف سيارات أجرة,تقاطع سكة حديد مجهز بحواجز,2
22,Warning,اتجاه سير اجباري إلى اليمين,تقاطع سكة حديد دون حواجز,لافتة متقدمة تدل على اتجاهات الحركة...,تقاطع سكة حديد دون حواجز,2
23,Warning,ممر أطفال / أولاد,مطب تخفيض سرعة,منطقة موقف مجاني,ممر أطفال / أولاد,1
24,Warning,انتهاء الحد الأدنى للسرعة,مخرج الى طريق رقم,انتبه مدرسة,انتبه مدرسة,3
25,Warning,ممر مشاة,نهاية الممر المخصص للباصات,توقف عند التقاطع,ممر مشاة,1
26,Warning,السلاسل المعدنية الزامية,موقع تخييم (خيام),خطر غير محدد,خطر غير محدد,3
27,Intersection,انخفاضات,توقف عند التقاطع,بداية طريق سريع,توقف عند التقاطع,2
28,Intersection,هاتف عمومي,ممنوع دخول المركبات التي تحمل مواد ملوثة,افسح الطريق,افسح الطريق,3
